Dados de estrutura populacional de Miconia albicans em área de cerrado
Transect - número do transecto; Plot - número da parcela; x e y - coordenadas da parcela, FireSeverity - grau de queima; Nind - número de indivíduos
Type: Ad - apenas caules adultos; AdBr - caules adultos e rebrotas; Br - apenas rebrotas; Pl - plântulas; M - indivíduo morto
Transect	Plot	x	y	FireSeverity	Type	Nind
3	5	52.5	22.5	1	Pl	0
3	6	52.5	27.5	1	Pl	0
3	7	52.5	32.5	1	Pl	0
3	8	52.5	37.5	1	Pl	0
3	9	52.5	42.5	0.2682926829	Pl	0
3	10	52.5	47.5	0.625	Pl	0
3	11	52.5	52.5	1	Pl	0
3	12	52.5	57.5	1	Pl	0
3	13	52.5	62.5	NA	Pl	0
3	14	52.5	67.5	1	Pl	0
3	15	52.5	72.5	1	Pl	0
3	16	52.5	77.5	NA	Pl	0
3	17	52.5	82.5	1	Pl	0
3	18	52.5	87.5	1	Pl	0
3	19	52.5	92.5	1	Pl	0
3	20	52.5	97.5	1	Pl	0
4	1	27.5	2.5	0.8461538462	Pl	0
4	2	27.5	7.5	1	Pl	0
4	3	27.5	12.5	0.7833333333	Pl	1
4	4	27.5	17.5	0.9333333333	Pl	0
4	5	27.5	22.5	1	Pl	0
4	6	27.5	27.5	0.2222222222	Pl	0
4	7	27.5	32.5	0.2419354839	Pl	0
4	8	27.5	37.5	1	Pl	0
4	9	27.5	42.5	1	Pl	0
4	10	27.5	47.5	1	Pl	0
4	11	27.5	52.5	0.8888888889	Pl	0
4	12	27.5	57.5	0.8888888889	Pl	0
4	13	27.5	62.5	0	Pl	7
4	14	27.5	67.5	0.5806451613	Pl	1
4	15	27.5	72.5	1	Pl	0
4	16	27.5	77.5	1	Pl	0
4	17	27.5	82.5	1	Pl	0
4	18	27.5	87.5	0.6896551724	Pl	0
4	19	27.5	92.5	1	Pl	0
4	20	27.5	97.5	1	Pl	0
5	1	2.5	2.5	1	Pl	0
5	2	2.5	7.5	0.7647058824	Pl	0
5	3	2.5	12.5	0.328125	Pl	1
5	4	2.5	17.5	0.8666666667	Pl	0
5	5	2.5	22.5	0.8666666667	Pl	0
5	6	2.5	27.5	1	Pl	0
5	7	2.5	32.5	1	Pl	0
5	8	2.5	37.5	1	Pl	0
5	9	2.5	42.5	1	Pl	0
5	10	2.5	47.5	0.6170212766	Pl	0
5	11	2.5	52.5	0.9230769231	Pl	0
5	12	2.5	57.5	1	Pl	0
5	13	2.5	62.5	0.8709677419	Pl	0
5	14	2.5	67.5	1	Pl	0
5	15	2.5	72.5	1	Pl	0
5	16	2.5	77.5	0.6	Pl	0
5	17	2.5	82.5	1	Pl	0
5	18	2.5	87.5	1	Pl	0
5	19	2.5	92.5	1	Pl	0
5	20	2.5	97.5	1	Pl	0
