Caule	Fogo	H	DAS
1124	1	50	0.5
1125	1	76	0.6
1126	1	25	1.1
1127	1	17	0.5
1128	1	36	0.4
1129	1	56	0.4
1130	1	8	2
1131	1	46	0.6
1132	1	84	0.7
1133	1	45	0.5
1134	1	33	0.5
1135	1	71	0.8
1136	1	62	0.5
1137	1	65	0.5
1138	1	87	0.8
1139	1	44	0.5
1140	1	72	0.8
1141	1	95	0.8
1142	1	51	1
1143	1	45	0.9
1144	1	63	0.5
1145	1	11	0.2
1146	1	20	0.3
1147	1	8	0.1
1148	1	33	0.2
1149	1	54	1.1
1150	1	60	1.2
1151	1	55	0.7
1152	1	64	0.8
1153	1	45	0.9
1154	1	32	0.4
1155	1	93	1.4
1156	1	40	0.5
1157	1	24	0.2
1158	0	96	1.4
1159	0	95	1.2
1160	1	57	0.9
1161	1	29	0.6
1162	1	20	0.8
1163	1	34	0.5
1164	1	48	0.6
1165	1	9	0.3
1166	1	11	0.3
1167	1	20	0.2
1168	1	30	0.6
1169	1	32	0.8
1170	0	40	1.2
1171	0	36	1.4
1172	1	57	0.6
1173	1	66	1.7
1174	1	49	0.7
1175	1	84	1.9
1176	1	15	0.8
1177	0	23	0.9
1178	0	33	1.1
1179	0	20	1.3
1180	1	33	0.7
1181	1	20	0.5
1182	1	8	0.2
1183	0	92	1.3
1184	1	54	0.9
1185	1	32	0.8
1186	1	28	0.4
1187	1	101	1.2
1188	1	54	0.7
1189	1	32	0.9
1190	0	20	1.1
1191	0	75	1.6
1192	1	63	1.5
1193	0	18	1.5
1194	0	52	1.4
1195	0	54	1
1196	0	60	1.2
1197	0	138	2.1
1198	0	42	0.9
1199	0	42	1.2
1200	0	70	0.9
1201	0	89	1.2
1202	1	20	1
1203	0	70	2.5
1204	1	40	0.4
1205	1	21	0.2
1206	1	12	0.2
1207	1	96	1.8
1208	1	60	1.1
1209	0	68	1
1210	0	33	0.2
1211	0	46	0.7
1212	0	29	0.4
1213	0	24	0.4
1214	0	39	0.6
1215	1	8	0.3
1216	1	24	0.3
1217	1	38	0.5
1218	1	25	0.3
1219	1	9	0.1
1220	1	66	1.2
1221	1	30	0.3
1222	1	22	0.1
1223	1	12	0.2
1224	1	38	0.4
1225	1	30	0.4
1226	1	72	1
1227	1	55	0.9
1228	1	8	0.1
1229	1	32	0.4
1230	1	26	0.2
1231	1	45	1.8
1232	0	57	0.6
1233	1	18	0.3
1234	0	10	1.2
1235	1	16	1.1
1236	1	19	0.2
1237	1	18	0.1
1238	1	20	0.8
1239	0	58	0.9
1240	1	29	0.2
1241	0	41	1.1
1242	0	22	0.6
1243	0	81	1.5
1244	1	33	0.3
1245	1	25	0.5
1246	1	12	0.2
1247	0	83	0.9
1248	0	109	1.6
1249	1	48	1
1250	1	48	1.2
1251	1	27	0.4
1252	0	130	1.6
1253	0	160	1.5
1254	0	120	1.3
1255	0	50	1
1256	0	65	0.6
1257	1	15	0.2
1258	0	17	0.9
1259	1	18	1.9
1260	0	74	1.2
1261	0	13	1.2
1262	0	139	1.1
1263	0	280	3.4
1264	0	200	4
1265	0	280	3.4
1266	0	137	2
1267	0	65	1.1
1268	1	141	2.5
1269	1	137	2.5
1270	1	134	2.1
1271	1	150	1.8
1272	1	23	0.2
1273	1	43	0.4
1274	0	118	2.1
1275	1	20	0.2
1276	0	49	0.7
1277	0	84	1.4
1278	1	39	0.4
1279	1	9	0.4
1280	0	46	1.1
1281	1	17	0.2
1282	1	16	0.2
1283	1	15	0.2
1284	0	49	0.4
1285	1	35	0.6
1286	1	49	0.6
1287	1	45	0.7
1288	1	18	0.4
1289	1	11	0.2
1290	1	50	1.7
1291	0	27	1.1
1292	0	200	2.5
1293	1	18	0.5
1294	1	37	2.6
1295	1	32	0.6
1296	1	48	0.6
1297	1	15	0.2
1298	0	125	1.9
1299	0	130	1.5
1300	0	78	0.6
1301	0	90	1.4
1302	0	115	0.9
1303	0	85	0.8
1304	0	210	2.4
1305	1	210	2.7
1306	0	220	2.6
1307	0	210	3.1
1308	0	200	2.9
1309	0	190	2.2
1310	0	190	2.6
1311	0	185	2.8
1312	0	180	3.6
1313	0	190	3.6
1314	0	190	2.5
1315	0	87	1.6
1316	0	160	2.4
1317	0	160	2.1
1318	1	240	4.2
1319	1	135	1.9
1320	1	98	1.2
1321	1	200	3.2
1322	1	150	2.1
1323	1	165	2.1
1324	0	115	2.2
1325	0	15	1.3
1326	1	85	2.3
1327	1	100	2.7
